20-34,100K,312
20-34,100M,69
20-34,20K,3524
20-34,50K,1839
35-39,100K,742
35-39,100M,165
35-39,20K,4338
35-39,50K,3562
40-44,100K,1492
40-44,100M,425
40-44,20K,5349
40-44,50K,5237
45-49,100K,1534
45-49,100M,577
45-49,20K,4897
45-49,50K,5091
50-54,100K,1254
50-54,100M,533
50-54,20K,3076
50-54,50K,3461
55-59,100K,555
55-59,100M,296
55-59,20K,2016
55-59,50K,1880
60-64,100K,293
60-64,100M,205
60-64,20K,1161
60-64,50K,964
65-69,100K,149
65-69,100M,87
65-69,20K,581
65-69,50K,452
70-74,100K,36
70-74,100M,27
70-74,20K,208
70-74,50K,184
75-79,100K,4
75-79,100M,14
75-79,20K,31
75-79,50K,30
80+,100M,1
80+,20K,1
80+,50K,3
U18,100K,1
U18,20K,37
U18,50K,2
U20,20K,33
U20,50K,1
