corredores.id-corredor,corredores.ageGroup,corredores.fullname,corredores.uri,corredores.nationality,corredores.sex,corredores.Club,corredores.Team,corredores.Sponsor(s),corredores.Description,corredores.Geral,corredores.20K,corredores.50K,corredores.100K,corredores.100m
5567204,45-49,Fernando DOEGE,5567204.fernando.doege,BR,H,,,,,365,365,,,
4894488,50-54,Andr�a DAM�SIO,4894488.andrea.damasio,BR,F,,,,,387,386,375,,
4955562,45-49,Adriano REIS,4955562.adriano.reis,BR,H,,,,,453,455,,,
5919568,40-44,Paulo FALABELLA,5919568.paulo.falabella,BR,H,,,,,355,,,,357
5990984,40-44,Alan MEDEIROS,5990984.alan.medeiros,BR,H,,,,,444,446,,,
5345295,20-34,Daniel NOGUEIRA,5345295.daniel.nogueira,BR,H,,,,,471,,472,423,
5875491,40-44,Leonardo SANTO,5875491.leonardo.santo,BR,H,,,,,340,,,341,
5719687,40-44,Franklin BRANDALISE,5719687.franklin.brandalise,BR,H,,,,,636,,638,,
5301167,20-34,Lucas COELHO,5301167.lucas.coelho,BR,H,,,,,351,352,,,
5873081,40-44,Ivan KOSLOWSKY GERHARD,5873081.ivan.koslowskygerhard,BR,H,,,,,353,354,,,
5504759,35-39,Tatiane FERNANDES,5504759.tatiane.fernandes,BR,F,,,,,373,374,,,
570071,35-39,Taynay OLIVEIRA,570071.taynay.oliveira,BR,F,,,,,422,409,423,,
2531099,35-39,Mariana TRAVAINI GOMES,2531099.mariana.travainigomes,BR,F,,,,,391,392,,,
6003374,40-44,Gustavo MEDINA COELI,6003374.gustavo.medinacoeli,BR,H,,,,,467,469,,,
3504689,40-44,Fabio HOLLER,3504689.fabio.holler,BR,H,,,,,694,689,682,559,
5952728,20-34,Guilherme MACHADO MANSSON,5952728.guilherme.machadomansson,BR,H,,,,,560,,,562,
4506926,35-39,Israel SOARES POMPEU DE SOUSA BRASIL,4506926.israel.soarespompeudesousabrasil,BR,H,,,,,403,404,,,
5060377,50-54,Katia CRESPI,5060377.katia.crespi,BR,F,,,,,414,415,,,
3908065,35-39,Denise MAIA,3908065.denise.maia,BR,F,,,,,630,546,629,510,
4631556,65-69,Pereira LORIVALDO ANTONIO,4631556.pereira.lorivaldoantonio,BR,H,,,,,463,409,465,,
5953304,55-59,Maria WOLFART,5953304.maria.wolfart,BR,F,,,,,295,,297,,
5953342,45-49,Alessandra JACOMELLI,5953342.alessandra.jacomelli,BR,F,,,,,402,,403,,
5953382,40-44,Tiago Gomes SILVA,5953382.tiagogomes.silva,BR,H,,,,,316,,317,,
2083243,40-44,Everton LOUREN�O,2083243.everton.lourenco,BR,H,,,,,475,477,,,
804342,20-34,Lucas Augusto CASELI RIBEIRO,804342.lucasaugusto.caseliribeiro,BR,H,,,,,493,493,433,,
5907380,20-34,Dominique Thamara DE OLIVEIRA RIO,5907380.dominiquethamara.deoliveirario,BR,F,,,,,322,,323,,
1900069,60-64,Luiz COELHO,1900069.luiz.coelho,BR,H,,,,,332,333,,,
5865508,40-44,Lucas BUIJS,5865508.lucas.buijs,BR,H,,,,,404,,405,,
5865508,40-44,Lucas BUIJS,5865508.lucas.buijs,BR,H,,,,,404,,405,,
543452,50-54,Francisco OTTONI PORTO,543452.francisco.ottoniporto,BR,H,Mont Blanc Assessoria Esportiva,Mont Blanc Assessoria Esportiva,Mont Blanc Assessoria Esportiva,,601,546,599,559,491
1362929,40-44,Rafael DE ARAUJO PORTO,1362929.rafael.dearaujoporto,BR,H,,,,,608,,606,541,454
1631653,45-49,Andrea FERREIRA,1631653.andrea.ferreira,BR,F,Mont Blanc Assessoria Esportiva ,,,,388,350,386,383,379
5617693,35-39,Edgar SANTOS,5617693.edgar.santos,BR,H,,,,,419,420,,,
4875063,40-44,Erica Sonia FERN�NDES DE ALMEIDA SILVA,4875063.ericasonia.fernandesdealmeidasilva,BR,F,,,,,372,373,358,,
2687755,60-64,Uilson ALVES DE OLIVEIRA,2687755.uilson.alvesdeoliveira,BR,H,Jvm,Teccoil/Jvm,Teccoil,,407,404,405,,
4240780,40-44,Willians Anderson SILVA,4240780.williansanderson.silva,BR,H,,,,,577,,531,578,564
5471097,60-64,Gilberto TOIGO,5471097.gilberto.toigo,BR,H,INSPIRE RUN ,INSPIRE RUN ,,,418,,,418,
4925013,45-49,Jose Carlos TONELOTTI GRECCO,4925013.josecarlos.tonelottigrecco,BR,H,MPR,MPR,MPR,,487,455,440,488,
5241684,35-39,Caio BATISTA FRANCO,5241684.caio.batistafranco,BR,H,,,,,516,,452,517,
3401719,45-49,Luciana COUTO,3401719.luciana.couto,BR,F,,,,,368,370,,,
4162902,35-39,Ludmila IANZER JARDIM LUCAS,4162902.ludmila.ianzerjardimlucas,BR,F,,,,,425,400,425,,
