corridas.id-corrida,corridas.Corrida,corridas.uri,corridas.Title,corridas.City / Country,corridas.Day,corridas.Month,corridas.Year,corridas.Race Category,corridas.Distance,corridas.Elevation Gain
41,DESAFIO PRAIAS E TRILHAS,424.desafiopraiasetrilhasdesafiopraiasetrilhas.2007,DESAFIO PRAIAS E TRILHAS 2007,Brazil,1,January,2007,20K,42,500
42,JUNGLE MARATHON,520.junglemarathonjunglemarathon242km.2007,JUNGLE MARATHON 2007 - JUNGLE MARATHON 242KM,Brazil,1,January,2007,50K,87,-1
401,DESAFIO PRAIAS E TRILHAS,424.desafiopraiasetrilhasdesafiopraiasetrilhas.2008,DESAFIO PRAIAS E TRILHAS 2008,Brazil,1,January,2008,20K,42,500
402,JUNGLE MARATHON,520.junglemarathonjunglemarathon242km.2008,JUNGLE MARATHON 2008 - JUNGLE MARATHON 242KM,Brazil,1,January,2008,50K,87,-1
877,JUNGLE MARATHON,520.junglemarathonjunglemarathon242km.2009,JUNGLE MARATHON 2009 - JUNGLE MARATHON 242KM,Brazil,8,October,2009,50K,87,-1
878,DESAFIO PRAIAS E TRILHAS,424.desafiopraiasetrilhasdesafiopraiasetrilhas.2009,DESAFIO PRAIAS E TRILHAS 2009,Brazil,1,January,2009,20K,42,500
1672,BRAZIL RUNNING ADVENTURE RACE,820.brazilrunningadventureracebrazilrunningadventurerace-124km.2010,BRAZIL RUNNING ADVENTURE RACE 2010 - BRAZIL RUNNING ADVENTURE RACE - 124KM,Brazil,5,May,2010,20K,38,-1
1824,BRAZIL 135,901.brazil135brazil135-br135-.2010,BRAZIL 135 2010 - BRAZIL 135 (BR135),Brazil,24,January,2010,100M,217,5130
1906,JUNGLE MARATHON,520.junglemarathonjunglemarathon242km.2010,JUNGLE MARATHON 2010 - JUNGLE MARATHON 242KM,Brazil,7,October,2010,50K,90,-1
1907,JUNGLE MARATHON,520.junglemarathonjunglemarathon242km.2011,JUNGLE MARATHON 2011 - JUNGLE MARATHON 242KM,Brazil,6,October,2011,50K,90,-1
1908,DESAFIO PRAIAS E TRILHAS,424.desafiopraiasetrilhasdesafiopraiasetrilhas.2010,DESAFIO PRAIAS E TRILHAS 2010,Brazil,23,October,2010,20K,42,500
1984,BRAZIL RUNNING ADVENTURE RACE,820.brazilrunningadventureracebrazilrunningadventurerace-124km.2011,BRAZIL RUNNING ADVENTURE RACE 2011 - BRAZIL RUNNING ADVENTURE RACE - 124KM,Brazil,12,May,2011,20K,38,-1
1985,BRAZIL RUNNING ADVENTURE RACE,935.brazilrunningadventureracedesertrunextrembrazil.2011,BRAZIL RUNNING ADVENTURE RACE 2011 - DESERT RUN EXTREM BRAZIL,Brazil,14,May,2011,100M,200,-1
2703,BRAZIL 135,901.brazil135brazil135-br135-.2011,BRAZIL 135 2011 - BRAZIL 135 (BR135),Brazil,21,January,2011,100M,217,5130
2704,BRAZIL 135,901.brazil135brazil135-br135-.2012,BRAZIL 135 2012 - BRAZIL 135 (BR135),Brazil,21,January,2012,100M,217,5130
3105,Xterra Ilhabela,3427.xterrailhabelaendurance.2011,Xterra Ilhabela 2011 - Endurance,Brazil,24,September,2011,50K,50,1800
3110,DESAFIO PRAIAS E TRILHAS,424.desafiopraiasetrilhasdesafiopraiasetrilhas.2011,DESAFIO PRAIAS E TRILHAS 2011,Brazil,22,October,2011,20K,42,500
3121,BRAZIL RUNNING ADVENTURE RACE,820.brazilrunningadventureracebrazilrunningadventurerace-124km.2012,BRAZIL RUNNING ADVENTURE RACE 2012 - BRAZIL RUNNING ADVENTURE RACE - 124KM,Brazil,1,May,2012,20K,38,-1
3230,JUNGLE MARATHON,520.junglemarathonjunglemarathon242km.2012,JUNGLE MARATHON 2012 - JUNGLE MARATHON 242KM,Brazil,4,October,2012,100K,105,-1
3231,JUNGLE MARATHON,1284.junglemarathonjunglemarathon110km.2012,JUNGLE MARATHON 2012 - JUNGLE MARATHON 110KM,Brazil,4,October,2012,20K,38,-1
3450,BRAZIL RUNNING ADVENTURE RACE,935.brazilrunningadventureracedesertrunextrembrazil.2012,BRAZIL RUNNING ADVENTURE RACE 2012 - DESERT RUN EXTREM BRAZIL,Brazil,15,May,2012,100K,170,-1
3600,Xterra Brazil Ilhabela,1431.xterrabrazililhabelaendurance.2012,Xterra Brazil Ilhabela 2012 - Endurance,Brazil,21,April,2012,100K,80,3550
4364,BRAZIL 135,901.brazil135brazil135-br135-.2013,BRAZIL 135 2013 - BRAZIL 135 (BR135),Brazil,18,January,2013,100M,217,5130
4370,JUNGLE MARATHON,520.junglemarathonjunglemarathon242km.2013,JUNGLE MARATHON 2013 - JUNGLE MARATHON 242KM,Brazil,3,October,2013,100K,108,-1
4584,Desafio das Serras,1731.desafiodasserras80km.2012,Desafio das Serras 2012 - 80 Km,Brazil,1,September,2012,50K,41,2408
4585,DESAFIO PRAIAS E TRILHAS,424.desafiopraiasetrilhasdesafiopraiasetrilhas.2013,DESAFIO PRAIAS E TRILHAS 2013,Brazil,19,October,2013,20K,42,500
4590,Ultramaratona Dos Anjos Internacional,1735.ultramaratonadosanjosinternacional235kmx-hard.2012,Ultramaratona Dos Anjos Internacional 2012 - 235 Km X-Hard,Brazil,7,June,2012,100M,235,3536
4661,BRAZIL RUNNING ADVENTURE RACE,820.brazilrunningadventureracebrazilrunningadventurerace-124km.2013,BRAZIL RUNNING ADVENTURE RACE 2013 - BRAZIL RUNNING ADVENTURE RACE - 124KM,Brazil,20,May,2013,20K,42,-1
4662,BRAZIL RUNNING ADVENTURE RACE,1764.brazilrunningadventureracebrazilrunningadventurerace-60km.2013,BRAZIL RUNNING ADVENTURE RACE 2013 - BRAZIL RUNNING ADVENTURE RACE - 60KM ,Brazil,23,May,2013,20K,36,-1
4663,BRAZIL RUNNING ADVENTURE RACE,1765.brazilrunningadventureracebrazilrunningadventurerace-160km.2013,BRAZIL RUNNING ADVENTURE RACE 2013 - BRAZIL RUNNING ADVENTURE RACE - 160KM,Brazil,21,May,2013,100K,160,-1
4866,JUNGLE MARATHON,1284.junglemarathonjunglemarathon110km.2013,JUNGLE MARATHON 2013 - JUNGLE MARATHON 110KM,Brazil,3,October,2013,20K,42,-1
4972,BRAZIL 135,901.brazil135brazil135-br135-.2009,BRAZIL 135 2009 - BRAZIL 135 (BR135),Brazil,23,January,2009,100M,217,5130
4973,BRAZIL 135,901.brazil135brazil135-br135-.2008,BRAZIL 135 2008 - BRAZIL 135 (BR135),Brazil,21,January,2008,100M,217,5130
4974,BRAZIL 135,901.brazil135brazil135-br135-.2007,BRAZIL 135 2007 - BRAZIL 135 (BR135),Brazil,12,January,2007,100M,217,5130
5355,Ultramaratona Dos Anjos Internacional,1735.ultramaratonadosanjosinternacional235kmx-hard.2013,Ultramaratona Dos Anjos Internacional 2013 - 235 Km X-Hard,Brazil,7,June,2013,100M,235,3530
5636,ULTRA DESAFIO 50 MILHAS,2057.ultradesafio50milhasultradesafio50milhas-campinas-solo-.2013,ULTRA DESAFIO 50 MILHAS 2013 - ULTRA DESAFIO 50 MILHAS - CAMPINAS (SOLO),Brazil,16,March,2013,100K,80,2349
5881,Short and Half Brasil,2169.shortandhalfbrasilhalfmisionbrasilserrafina-80km.2013,Short and Half Brasil 2013 - HALF MISION BRASIL SERRA FINA - 80KM,Brazil,12,October,2013,100K,77.1,4610
6411,Desafio das Serras,1731.desafiodasserras80km.2013,Desafio das Serras 2013 - 80 Km,Brazil,7,September,2013,50K,39.2,2392
6482,Xterra Brazil Ilhabela,1431.xterrabrazililhabelaendurance.2013,Xterra Brazil Ilhabela 2013 - Endurance,Brazil,22,June,2013,100K,76.6,3524
6591,ULTRA DESAFIO 50 MILHAS,2403.ultradesafio50milhasultradesafio50milhas2aetapa-campinas-solo-.2013,ULTRA DESAFIO 50 MILHAS 2013 - ULTRA DESAFIO 50 MILHAS 2A ETAPA - CAMPINAS (SOLO),Brazil,20,July,2013,100K,83.6,2459
6645,Maratona dos Perdidos,2419.maratonadosperdidos45k.2014,Maratona dos Perdidos 2014 - 45K,Brazil,19,July,2014,50K,45,2925
7155,Xterra Ilhabela,3427.xterrailhabelaendurance.2013,Xterra Ilhabela 2013 - Endurance,Brazil,22,June,2013,50K,50.6,2135
7269,BRAZIL 135,901.brazil135brazil135-br135-.2014,BRAZIL 135 2014 - BRAZIL 135 (BR135),Brazil,17,January,2014,100M,217,5130
7766,Xterra Brazil Ilhabela,1431.xterrabrazililhabelaendurance.2014,Xterra Brazil Ilhabela 2014 - Endurance,Brazil,7,June,2014,100K,80,3803
7825,Xterra Ilhabela,3427.xterrailhabelaendurance.2014,Xterra Ilhabela 2014 - Endurance,Brazil,27,September,2014,50K,50,1568
7898,Desafio das Serras,1731.desafiodasserras80km.2014,Desafio das Serras 2014 - 80 Km,Brazil,6,September,2014,50K,81,51
7947,Short and Half Brasil,2169.shortandhalfbrasilhalfmisionbrasilserrafina-80km.2014,Short and Half Brasil 2014 - HALF MISION BRASIL SERRA FINA - 80KM,Brazil,9,August,2014,100K,77.1,4610
8258,Indomit costa esmeralda ultra-trail�,2963.indomitcostaesmeraldaultra-trail-100km.2014,Indomit costa esmeralda ultra-trail� 2014 - 100 KM,Brazil,17,May,2014,100K,100,3000
8269,Xterra Estrada Real,3426.xterraestradarealendurance50k.2014,Xterra Estrada Real 2014 - Endurance 50K,Brazil,28,September,2014,50K,50,1446
8270,Xterra Estrada Real,3008.xterraestradarealendurance80k.2014,Xterra Estrada Real 2014 - Endurance 80K,Brazil,27,September,2014,100K,80,2083
8388,Indomit costa esmeralda ultra-trail�,3033.indomitcostaesmeraldaultra-trail-65km.2014,Indomit costa esmeralda ultra-trail� 2014 - 65 km,Brazil,17,May,2014,50K,65,2148
8899,APTR Ultra Itacolomi,3237.aptrultraitacolomi55km.2015,APTR Ultra Itacolomi 2015 - 55 Km,Brazil,4,July,2015,50K,55.4,2120
8900,APTR Ultra Itacolomi,3237.aptrultraitacolomi55km.2014,APTR Ultra Itacolomi 2014 - 55 Km,Brazil,1,November,2014,50K,55.4,2120
9012,APTR Ultra de Videiras,3294.aptrultradevideiras55km.2015,APTR Ultra de Videiras 2015 - 55 Km,Brazil,16,May,2015,50K,53.8,2760
9353,Indomit costa esmeralda ultra-trail�,2963.indomitcostaesmeraldaultra-trail-100km.2015,Indomit costa esmeralda ultra-trail� 2015 - 100 KM,Brazil,7,November,2015,100K,100.4,2820
9356,Indomit costa esmeralda ultra-trail�,3441.indomitcostaesmeraldaultra-trail-80km.2015,Indomit costa esmeralda ultra-trail� 2015 - 80 Km,Brazil,7,November,2015,100K,80.1,2490
9363,Xterra Costa Verde,3400.xterracostaverdeendurance.2015,Xterra Costa Verde 2015 - Endurance,Brazil,3,March,2015,50K,51.8,930
9432,Xterra Estrada Real,3426.xterraestradarealendurance50k.2015,Xterra Estrada Real 2015 - Endurance 50K,Brazil,26,September,2015,50K,49.7,1260
9433,Xterra Ilhabela,3427.xterrailhabelaendurance.2015,Xterra Ilhabela 2015 - Endurance,Brazil,29,August,2015,50K,49.6,1770
9452,Extremo Sul - World's Largest Beach,3447.extremosul-world-slargestbeachextremosul-world-slargestbeach.2015,Extremo Sul - World's Largest Beach 2015,Brazil,11,November,2015,100M,222.6,420
9562,Short and Half Brasil,2169.shortandhalfbrasilhalfmisionbrasilserrafina-80km.2015,Short and Half Brasil 2015 - HALF MISION BRASIL SERRA FINA - 80KM,Brazil,20,June,2015,100K,71.8,4334
9578,Maratona dos Perdidos,2419.maratonadosperdidos45k.2015,Maratona dos Perdidos 2015 - 45K,Brazil,18,July,2015,50K,48.5,2650
9585,The North Face Endurance Challenge Ultra Trail Agulhas Negras,3526.thenorthfaceendurancechallengeultratrailagulhasnegras80k.2015,The North Face Endurance Challenge Ultra Trail Agulhas Negras 2015 - 80K,Brazil,23,May,2015,100K,92.8,3756
9675,Indomit S�o Paulo,3520.indomitsaopaulo50km.2015,Indomit S�o Paulo 2015 - 50 Km,Brazil,30,May,2015,50K,49.4,2816
10094,The North Face Endurance Challenge Ultra Trail Agulhas Negras,3767.thenorthfaceendurancechallengeultratrailagulhasnegras50k.2015,The North Face Endurance Challenge Ultra Trail Agulhas Negras 2015 - 50K,Brazil,23,May,2015,50K,50.6,2189
10146,APTR Ultra de Videiras,3294.aptrultradevideiras55km.2016,APTR Ultra de Videiras 2016 - 55 Km,Brazil,30,April,2016,50K,55.2,2760
10154,Ultramaratona dos Anjos Internacional,1735.ultramaratonadosanjosinternacional235kmx-hard.2015,Ultramaratona dos Anjos Internacional 2015 - 235 Km X-Hard,Brazil,3,July,2015,100M,233.5,5866
10204,Ultramaratona dos Anjos Internacional,3814.ultramaratonadosanjosinternacional65kmeasy.2015,Ultramaratona dos Anjos Internacional 2015 - 65 Km Easy,Brazil,3,July,2015,50K,63.7,1902
