id-corrida,City / Country, qtd_Br
179,France,1
217,France,2
220,France,5
264,Italy,1
274,France,2
459,United States,3
471,United States,1
545,France,1
592,France,2
593,France,2
596,France,1
642,Italy,2
654,France,2
754,France,1
801,United States,3
1014,France,1
1016,France,1
1018,France,6
1019,France,4
1074,Italy,1
1088,France,2
1132,Portugal,1
1183,Switzerland,1
1200,Chile,1
1294,France,1
1310,France,3
1422,France,1
1431,Italy,1
1447,France,3
1460,France,1
1643,United States,1
1751,France,4
1896,United States,1
1904,Chile,1
1923,United States,3
1925,United States,4
2072,United Kingdom,1
2110,Italy,1
2151,Argentina,2
2254,France,2
2255,France,2
2256,France,4
2292,Switzerland,2
2293,Switzerland,2
2294,Italy,1
2306,France,1
2378,United States,1
2433,Portugal,2
2474,France,1
2485,Chile,1
2515,Argentina,1
2530,Argentina,11
2591,United States,2
2592,United States,1
2614,Italy,1
2615,Switzerland,1
2627,Egypt,2
2665,United Kingdom,1
2666,United Kingdom,3
2673,Argentina,1
2789,United States,1
2862,France,1
2874,France,2
2876,France,4
2877,France,6
2915,United States,1
2933,Italy,1
2939,Portugal,5
3020,France,1
3073,Morocco,3
3090,Portugal,3
3159,Italy,1
3176,Switzerland,2
3215,Germany,2
3233,Egypt,2
3236,Spain,2
3237,Spain,1
3370,France,1
3398,United States,3
3400,Germany,1
3444,United States,1
3477,Chile,1
3489,Japan,1
3534,Argentina,12
3535,Argentina,7
3564,United States,1
3650,United States,1
3796,Argentina,2
3938,Jordan,1
3940,France,2
3941,France,8
3961,Spain,1
4069,Portugal,2
4073,Portugal,1
4074,Portugal,1
4099,Argentina,27
4100,Argentina,5
4102,Denmark,1
4159,Chile,4
4161,France,6
4289,Switzerland,3
4291,Switzerland,1
4293,Italy,4
4318,Luxembourg,1
4355,Switzerland,1
4386,France,1
4415,Germany,1
4432,Morocco,2
4528,United States,1
4552,Argentina,1
4576,Italy,7
4577,Japan,2
4623,France,1
4709,Israel,1
4716,United States,1
4804,United States,1
4816,Chile,1
4831,Chile,2
4917,France,2
4947,United States,1
5011,United Kingdom,1
5043,Argentina,1
5079,Portugal,1
5175,United States,2
5212,United States,1
5241,Sweden,1
5278,Italy,1
5285,United States,1
5286,United States,1
5288,Spain,2
5560,Switzerland,3
5582,New Zealand,1
5583,Ecuador,1
5615,United States,1
5645,United States,1
5793,Portugal,2
5794,Portugal,2
5879,Argentina,19
5880,Argentina,1
5958,Mexico,1
6025,France,2
6104,France,12
6110,Argentina,1
6127,Portugal,2
6138,Argentina,28
6139,Argentina,1
6235,Portugal,3
6243,United States,1
6271,Peru,1
6368,Chile,1
6420,Denmark,1
6471,Chile,1
6547,Argentina,262
6554,France,4
6555,France,4
6557,France,7
6558,France,6
6606,Italy,2
6607,Italy,1
6658,United Kingdom,1
6659,United Kingdom,1
6660,United Kingdom,1
6685,Switzerland,1
6691,Israel,1
6726,Portugal,4
6735,Spain,1
6761,Japan,4
6863,Spain,1
6892,Argentina,1
6920,Canada,1
6923,Spain,2
6927,Argentina,30
6940,Canada,1
7031,Argentina,1
7034,Chile,1
7044,Spain,1
7076,Australia,1
7077,Australia,1
7117,United States,1
7198,United States,1
7274,Spain,1
7304,United States,2
7358,Spain,1
7455,New Zealand,4
7489,United States,1
7495,United States,2
7496,United States,2
7539,Australia,1
7548,Australia,1
7558,United Kingdom,1
7559,United States,1
7567,Chile,10
